Octave version 3.8.1
Minc-tool-kit version 0.3.18-20130531
NIAK quarantine /home/pbellec/git/niak/commands/misc/niak_gb_vars.m
Deamon started on 15-Apr-2016 17:42:26
15-Apr-2016 17:43:57 Starting worker number 257...
15-Apr-2016 17:43:57 Starting worker number 258...
15-Apr-2016 17:43:57 Starting worker number 259...
15-Apr-2016 17:43:58 Starting worker number 260...
15-Apr-2016 17:43:58 Starting worker number 261...
15-Apr-2016 17:43:58 Starting worker number 262...
15-Apr-2016 17:43:59 Starting worker number 263...
15-Apr-2016 17:43:59 Starting worker number 264...
15-Apr-2016 17:43:59 Starting worker number 265...
15-Apr-2016 17:43:59 Starting worker number 266...
15-Apr-2016 17:44:00 Starting worker number 267...
15-Apr-2016 17:44:00 Starting worker number 268...
15-Apr-2016 17:44:00 Starting worker number 269...
15-Apr-2016 17:44:00 Starting worker number 270...
15-Apr-2016 17:44:01 Starting worker number 271...
15-Apr-2016 17:44:01 Starting worker number 272...
15-Apr-2016 17:44:01 Starting worker number 273...
15-Apr-2016 17:44:01 Starting worker number 274...
15-Apr-2016 17:44:02 Starting worker number 275...
15-Apr-2016 17:44:02 Starting worker number 276...
15-Apr-2016 17:44:02 Starting worker number 277...
15-Apr-2016 17:44:02 Starting worker number 278...
15-Apr-2016 17:44:03 Starting worker number 279...
15-Apr-2016 17:44:04 Starting worker number 280...
15-Apr-2016 17:44:04 Starting worker number 281...
15-Apr-2016 17:44:04 Starting worker number 282...
15-Apr-2016 17:44:05 Starting worker number 283...
15-Apr-2016 17:44:05 Starting worker number 284...
15-Apr-2016 17:44:05 Starting worker number 285...
15-Apr-2016 17:44:05 Starting worker number 286...
15-Apr-2016 17:44:06 Starting worker number 287...
15-Apr-2016 17:44:06 Starting worker number 288...
15-Apr-2016 17:44:06 Starting worker number 289...
15-Apr-2016 17:44:06 Starting worker number 290...
15-Apr-2016 17:44:07 Starting worker number 291...
15-Apr-2016 17:44:07 Starting worker number 292...
15-Apr-2016 17:44:07 Starting worker number 293...
15-Apr-2016 17:44:07 Starting worker number 294...
15-Apr-2016 17:44:08 Starting worker number 295...
15-Apr-2016 17:44:08 Starting worker number 296...
15-Apr-2016 17:44:08 Starting worker number 297...
15-Apr-2016 17:44:09 Starting worker number 298...
15-Apr-2016 17:44:09 Starting worker number 299...
15-Apr-2016 17:44:09 Starting worker number 300...
Deamon terminated on 15-Apr-2016 17:45:49

